id,client_name,client_phone,client_email,items_list,order_value,priority,internal_notes,custom_field_values,status,created_at,updated_at,is_archived,archived_at
1,Tech Solutions,(11) 99587-6261,contato1@cliente.com.br,"Item A x1, Item B x4",39970.63,Alta,,"[{""id"":1,""value"":""4209"",""attachments"":[]}]",Aguardando Separação,2026-05-27 09:42:28.390686,2026-05-28 03:43:18.745221,0,
2,Farma Viva,(11) 97344-1186,contato2@cliente.com.br,"Item A x2, Item B x2",1700.47,Baixa,,"[{""id"": 1, ""value"": ""9573"", ""attachments"": []}]",Aguardando Separação,2026-05-27 09:42:28.390966,2026-05-28 03:42:54.902966,0,
3,Mercado Central,(11) 99468-1009,contato3@cliente.com.br,"Item A x3, Item B x4",4443.68,Baixa,,"[{""id"": 1, ""value"": ""5840"", ""attachments"": []}]",Pronto para Envio,2026-05-27 22:42:28.391032,2026-05-27 22:42:28.391032,0,
4,Distribuidora Sul,(11) 95168-2289,contato4@cliente.com.br,"Item A x4, Item B x3",4730.17,Urgente,,"[{""id"": 1, ""value"": ""5466"", ""attachments"": []}]",Em Separação,2026-05-26 13:42:28.391075,2026-05-26 13:42:28.391075,0,
5,Oficina do João,(11) 96332-8902,contato5@cliente.com.br,"Item A x5, Item B x5",20001.75,Baixa,,"[{""id"":1,""value"":""2075"",""attachments"":[]}]",Em Separação,2026-05-27 16:42:28.391110,2026-05-28 03:43:47.863061,0,
6,Tech Solutions,(11) 99386-1762,contato6@cliente.com.br,"Item A x6, Item B x5",2728.98,Urgente,,"[{""id"": 1, ""value"": ""3362"", ""attachments"": []}]",Conferência,2026-05-26 21:42:28.391145,2026-05-26 21:42:28.391145,0,
7,Farma Viva,(11) 93231-4351,contato7@cliente.com.br,"Item A x7, Item B x3",4297.22,Urgente,,"[{""id"": 1, ""value"": ""1673"", ""attachments"": []}]",Conferência,2026-05-26 14:42:28.391182,2026-05-26 14:42:28.391182,0,
8,Mercado Central,(11) 97794-4739,contato8@cliente.com.br,"Item A x8, Item B x5",3670.81,Baixa,,"[{""id"": 1, ""value"": ""3540"", ""attachments"": []}]",Aguardando Separação,2026-05-26 21:42:28.391222,2026-05-26 21:42:28.391222,0,
9,Distribuidora Sul,(11) 98564-4275,contato9@cliente.com.br,"Item A x9, Item B x1",2740.14,Normal,,"[{""id"": 1, ""value"": ""4636"", ""attachments"": []}]",Pronto para Envio,2026-05-27 12:42:28.391255,2026-05-27 12:42:28.391255,0,
10,Mercado Central,(11) 97474-3808,contato10@cliente.com.br,"Item A x10, Item B x3",3941.62,Urgente,,"[{""id"": 1, ""value"": ""7190"", ""attachments"": []}]",Aguardando Separação,2026-05-27 19:42:28.391351,2026-05-27 19:42:28.391351,0,
11,Farma Viva,(11) 98331-1238,contato11@cliente.com.br,"Item A x11, Item B x5",4564.84,Normal,,"[{""id"": 1, ""value"": ""8487"", ""attachments"": []}]",Em Separação,2026-05-26 08:42:28.391401,2026-05-26 08:42:28.391401,0,
12,Farma Viva,(11) 97174-3218,contato12@cliente.com.br,"Item A x12, Item B x1",2930.81,Baixa,,"[{""id"": 1, ""value"": ""5269"", ""attachments"": []}]",Pronto para Envio,2026-05-27 02:42:28.391438,2026-05-27 02:42:28.391438,0,
13,Farma Viva,(11) 98308-5017,contato13@cliente.com.br,"Item A x13, Item B x3",426.37,Alta,,"[{""id"": 1, ""value"": ""5990"", ""attachments"": []}]",Aguardando Separação,2026-05-26 14:42:28.391473,2026-05-26 14:42:28.391473,0,
14,Farma Viva,(11) 97890-6964,contato14@cliente.com.br,"Item A x14, Item B x5",4334.32,Urgente,,"[{""id"": 1, ""value"": ""7327"", ""attachments"": []}]",Aguardando Separação,2026-05-28 02:42:28.391505,2026-05-28 02:42:28.391505,0,
15,Logística Express,(11) 96147-3379,contato15@cliente.com.br,"Item A x15, Item B x1",1823.7,Baixa,,"[{""id"": 1, ""value"": ""5641"", ""attachments"": []}]",Conferência,2026-05-27 19:42:28.391538,2026-05-27 19:42:28.391538,0,
16,Farma Viva,(11) 99989-4238,contato16@cliente.com.br,"Item A x16, Item B x3",3902.38,Normal,,"[{""id"": 1, ""value"": ""3384"", ""attachments"": []}]",Aguardando Separação,2026-05-26 23:42:28.391575,2026-05-26 23:42:28.391575,0,
17,Distribuidora Sul,(11) 94696-2844,contato17@cliente.com.br,"Item A x17, Item B x1",412.41,Alta,,"[{""id"": 1, ""value"": ""9624"", ""attachments"": []}]",Conferência,2026-05-26 15:42:28.391608,2026-05-26 15:42:28.391608,0,
18,Logística Express,(11) 94215-3624,contato18@cliente.com.br,"Item A x18, Item B x4",372.56,Alta,,"[{""id"": 1, ""value"": ""5718"", ""attachments"": []}]",Conferência,2026-05-27 01:42:28.391638,2026-05-27 01:42:28.391638,0,
19,Oficina do João,(11) 91273-3464,contato19@cliente.com.br,"Item A x19, Item B x1",939.04,Urgente,,"[{""id"": 1, ""value"": ""5826"", ""attachments"": []}]",Pronto para Envio,2026-05-27 08:42:28.391669,2026-05-27 08:42:28.391669,0,
20,Metalúrgica Norte,(11) 94375-6805,contato20@cliente.com.br,"Item A x20, Item B x5",3425.69,Alta,,"[{""id"": 1, ""value"": ""5302"", ""attachments"": []}]",Aguardando Separação,2026-05-27 15:42:28.391699,2026-05-27 15:42:28.391699,0,
